                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.3577,                0.27315,                0.80249,                0.81965,                0.74974,                0.78323,                0.68977,                 0.3584,                0.30765,                 0.7986,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.35546,                0.26906,                0.79836,                0.84564,                0.71393,                0.77358,                0.68101,                0.36006,                0.31669,                 0.8013,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.35305,                0.26214,                0.79978,                0.87198,                0.73532,                0.78649,                0.68672,                0.35698,                0.30721,                0.79691,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.35213,                0.26233,                0.79869,                0.83732,                0.74058,                0.77527,                0.68737,                0.35967,                0.30706,                0.80136,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.35215,                0.25947,                0.79693,                 0.8766,                0.72771,                 0.7842,                0.69485,                0.35635,                 0.2956,                0.80416,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.35086,                0.25995,                0.79687,                0.66153,                0.75131,                0.78353,                0.68653,                0.35637,                0.30496,                0.80281,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.34957,                0.25719,                0.80016,                0.85798,                0.73442,                0.79084,                0.69692,                0.35646,                0.30208,                0.79739,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.34655,                0.25562,                0.79737,                0.90356,                0.71574,                0.79539,                 0.6995,                0.36255,                0.29978,                0.80556,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.34406,                0.25546,                 0.7983,                0.93523,                0.61551,                0.77958,                0.68482,                0.35873,                0.29096,                0.80293,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.34495,                0.25146,                0.79755,                0.77848,                0.73683,                0.77531,                0.67777,                  0.363,                0.29211,                0.80373,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.34477,                0.25027,                0.79572,                0.90621,                0.73243,                0.79658,                0.69876,                 0.3658,                0.29592,                0.80643,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.34286,                0.24898,                0.79611,                0.86688,                0.73567,                0.78546,                0.69733,                0.35102,                0.30117,                0.80066,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 0.3396,                0.24498,                0.79379,                0.82376,                0.77171,                0.78869,                0.69878,                0.35803,                 0.3037,                0.80132,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.34036,                 0.2418,                0.79551,                 0.8444,                0.76386,                0.79589,                0.69945,                0.35399,                0.29702,                0.80485,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 0.3399,                0.24064,                0.79617,                0.88942,                0.71597,                0.79172,                0.69602,                0.35083,                0.28278,                0.80163,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.33643,                0.23889,                0.79599,                0.88459,                0.74096,                0.78985,                 0.7067,                0.34329,                0.27696,                0.79944,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.33601,                0.23764,                0.79337,                0.88369,                0.73417,                0.80147,                0.71307,                0.34885,                0.28376,                0.80101,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.33252,                0.23587,                0.79318,                 0.8665,                0.72896,                0.79237,                0.70006,                0.34363,                0.28808,                0.79728,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.33473,                 0.2334,                0.79499,                 0.8662,                0.72686,                0.78415,                0.69529,                0.34611,                0.30399,                 0.8003,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.33314,                0.22923,                0.79362,                0.86488,                0.75014,                0.80747,                0.70428,                0.34916,                0.28326,                0.80614,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.33251,                 0.2288,                0.79211,                0.87562,                0.74454,                0.78259,                0.68258,                0.34594,                0.27921,                0.80015,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.33132,                0.22977,                0.79296,                0.89993,                 0.7433,                0.79663,                0.71114,                0.34436,                0.28208,                0.80292,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.33139,                0.22957,                0.79206,                0.74901,                0.75298,                0.77888,                0.68223,                0.34326,                0.29255,                0.80225,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.33109,                0.23107,                0.79629,                0.88627,                0.73524,                0.78156,                0.68452,                0.34821,                0.28371,                0.79931,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.32755,                0.22252,                  0.792,                 0.8753,                0.74342,                0.80381,                0.70339,                0.34306,                0.28183,                0.79608,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                 0.3272,                0.22158,                0.79088,                0.87345,                0.76455,                  0.779,                0.69303,                0.34856,                0.27959,                0.80032,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.32828,                0.22315,                0.79067,                0.84567,                0.75125,                0.80522,                0.72027,                0.34927,                0.28374,                0.79914,             4.8314e-05,             4.8314e-05,             4.8314e-05
