                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.35665,                0.26962,                0.80153,                0.94864,                 0.8929,                0.96191,                0.87796,                0.36533,                0.29548,                0.80297,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                 0.3571,                0.26683,                0.79768,                0.90981,                0.91829,                0.96503,                0.87786,                0.37032,                0.30082,                0.80068,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.35713,                0.26166,                0.79741,                0.93176,                0.89566,                0.95567,                0.87456,                0.37193,                0.30616,                0.80773,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.35675,                0.26556,                0.80011,                0.93081,                0.91566,                0.96271,                0.87401,                0.36115,                0.29587,                0.79851,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.35669,                0.26026,                0.79632,                0.92781,                0.91184,                0.96449,                0.87515,                 0.3625,                0.29323,                0.80411,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.35399,                0.25829,                0.79678,                0.92474,                0.91432,                0.96484,                0.87521,                0.36995,                0.29298,                 0.8033,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.35095,                 0.2544,                0.79895,                0.91731,                0.92771,                 0.9656,                0.88028,                0.36864,                0.29107,                0.80507,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.35064,                0.25659,                0.79665,                0.93027,                0.91078,                0.96335,                0.87654,                0.36674,                0.30342,                0.80673,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.34512,                0.25398,                0.79747,                0.93811,                0.91566,                0.96309,                0.87463,                0.36512,                0.29324,                0.80383,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.34954,                0.25802,                0.79794,                0.92777,                  0.917,                0.96153,                0.87653,                0.36647,                0.29352,                0.80207,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.34834,                0.25288,                0.79643,                0.91649,                0.93307,                0.96041,                0.87791,                 0.3646,                0.29132,                0.80753,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.34778,                0.25251,                0.79808,                0.94239,                0.89424,                0.96164,                0.87474,                0.36094,                0.30501,                0.80497,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.34359,                0.24599,                0.79302,                0.94279,                0.90457,                0.96133,                0.88005,                0.35445,                0.29937,                0.80197,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.34383,                0.24325,                0.79455,                0.94132,                0.91165,                 0.9608,                0.87772,                0.35901,                0.29741,                0.80611,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.34196,                0.24183,                0.79468,                0.91798,                0.92897,                 0.9625,                0.87851,                0.36087,                0.29526,                0.80423,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.33856,                0.24134,                0.79643,                0.92849,                0.90763,                0.96073,                0.87591,                0.36469,                0.30764,                 0.8086,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                 0.3417,                0.24225,                0.79454,                0.94924,                0.89558,                0.96029,                0.87661,                0.36472,                0.29906,                 0.8052,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.33567,                0.23909,                0.79302,                0.94737,                 0.8929,                0.95897,                0.87999,                0.35695,                0.29785,                0.80118,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.33679,                0.23465,                0.79523,                0.94762,                0.89606,                0.96184,                0.88062,                0.35927,                0.28579,                0.80497,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.33468,                0.23097,                 0.7941,                0.94075,                0.90361,                0.95693,                0.88076,                0.34996,                0.28442,                0.80264,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 0.3356,                0.22994,                0.79237,                0.93832,                0.90495,                0.96248,                 0.8803,                0.35487,                0.28974,                0.80062,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.33389,                0.23096,                0.79203,                0.93179,                0.91432,                0.96219,                0.88114,                0.35593,                0.27513,                0.80125,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.33375,                0.22864,                0.79306,                0.90583,                0.92637,                0.95984,                0.88188,                0.35105,                0.29547,                0.80172,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.33444,                0.22915,                0.79659,                0.93663,                 0.9101,                0.95946,                0.88188,                0.35763,                0.28273,                0.80491,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                   0.33,                 0.2255,                0.79221,                0.94734,                0.90897,                0.96244,                0.88141,                 0.3503,                 0.2816,                 0.7993,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.32902,                0.22006,                0.79062,                0.94344,                0.90897,                0.96359,                0.88009,                0.35121,                0.28343,                0.80256,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.32979,                0.22357,                0.79072,                0.94654,                0.90629,                 0.9649,                0.88165,                0.34892,                0.27196,                0.80213,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.33199,                0.22315,                0.79036,                0.95355,                0.90685,                0.96033,                0.87862,                0.35801,                0.28294,                0.80821,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.32709,                0.21968,                0.78835,                0.93299,                0.91331,                0.96165,                0.88301,                0.35625,                0.28918,                0.80924,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.32214,                0.21946,                 0.7857,                0.93032,                0.91566,                0.96426,                0.88342,                 0.3457,                0.29856,                0.80477,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.32201,                0.21686,                0.78972,                 0.9399,                0.90629,                0.95738,                0.88287,                0.34798,                 0.2869,                0.80447,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.32263,                0.21446,                0.79045,                0.95274,                0.89692,                0.95913,                0.88411,                0.34653,                0.28462,                0.80516,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.31941,                0.21276,                0.78706,                0.94434,                0.90852,                0.95919,                0.88363,                0.34558,                0.27754,                0.80335,             4.1245e-05,             4.1245e-05,             4.1245e-05
