Ultralytics YOLOv8.2.11 🚀 Python-3.10.12 torch-2.1.0+cu118 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
video 1/1 (frame 43/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 44/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 (no detections), 64.7ms
video 1/1 (frame 45/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 46/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 47/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 48/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 49/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 50/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 51/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 52/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 53/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 54/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 55/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.6ms
video 1/1 (frame 56/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 57/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 58/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 59/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 60/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 61/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 62/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 63/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 64/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 65/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 66/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 67/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 68/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 69/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 70/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 71/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 72/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 73/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 74/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 (no detections), 64.7ms
video 1/1 (frame 75/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 (no detections), 64.7ms
video 1/1 (frame 76/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 77/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 78/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 79/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 80/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 81/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 2 sports balls, 64.8ms
video 1/1 (frame 82/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 83/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 84/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 85/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 86/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 87/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 88/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 89/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 90/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 91/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 92/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 93/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 94/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 95/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 (no detections), 64.8ms
video 1/1 (frame 96/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 (no detections), 64.9ms
video 1/1 (frame 97/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 98/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 99/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 100/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 101/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 102/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 103/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 104/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 105/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 106/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 107/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 108/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 109/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 110/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 111/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 112/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 113/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 114/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 115/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 116/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 117/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 118/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 119/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 120/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 121/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
