Ultralytics YOLOv8.2.5 🚀 Python-3.10.12 torch-2.3.0+cu121 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
YOLOv8x summary (fused): 268 layers, 68200608 parameters, 0 gradients, 257.8 GFLOPs

video 1/1 (frame 48/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 49/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 50/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.5ms
video 1/1 (frame 51/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.5ms
video 1/1 (frame 52/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 53/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 54/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 55/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.5ms
video 1/1 (frame 56/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 57/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 58/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 59/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 2 sports balls, 31.6ms
video 1/1 (frame 60/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 61/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 62/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 63/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 64/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 65/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.5ms
video 1/1 (frame 66/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.5ms
video 1/1 (frame 67/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 1 sports ball, 31.6ms
video 1/1 (frame 68/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.5ms
video 1/1 (frame 69/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 70/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 71/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 72/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 73/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 74/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 75/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 76/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.5ms
